Week_Start,Week_End,Ticker,Setup,Entry,StopLoss,Target1,Target2,Risk_Pct,Fund_Status,Status,Detected_Date
2026-06-08,2026-06-12,ANANTRAJ.NS,NR7_CONTRACTION,554.0499877929688,540.5,581.1499633789062,688.8499755859375,2.4456255015805466,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,COFORGE.NS,NR7_CONTRACTION,1430.0,1391.0,1508.0,1734.199951171875,2.727272727272727,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,DIXON.NS,44MA_SUPPORT_BUY,11522.0,11153.0,12260.0,13347.0,3.2025689984377714,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,ENRIN.NS,NR7_CONTRACTION,3592.800048828125,3535.0,3708.400146484375,4547.199951171875,1.608774438949861,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,EXIDEIND.NS,NR7_CONTRACTION,390.70001220703125,385.0,402.10003662109375,467.0,1.4589229661991472,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,GODREJIND.NS,44MA_SUPPORT_BUY,1047.5999755859375,1020.5999755859375,1101.5999755859375,1247.0,2.577319647692672,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,HEXT.NS,NR7_CONTRACTION,521.5999755859375,509.79998779296875,545.199951171875,604.1499633789062,2.2622677042331674,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,HFCL.NS,NR7_CONTRACTION,177.8699951171875,176.5,180.6099853515625,251.9199981689453,0.7702227215359708,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,JSWCEMENT.NS,NR7_CONTRACTION,126.25,124.70999908447266,129.3300018310547,149.43000030517578,1.219802705368193,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,JSWENERGY.NS,NR7_CONTRACTION,581.0,569.36352387257,604.27295225486,692.7698067913218,2.0028358222771088,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,MANKIND.NS,44MA_SUPPORT_BUY,2367.0,2275.60009765625,2549.7998046875,2730.0,3.8614238421525138,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,NETWEB.NS,NR7_CONTRACTION,4306.5,4305.7998046875,4307.900390625,5600.39990234375,0.016259034308603273,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,OLECTRA.NS,NR7_CONTRACTION,1263.199951171875,1219.4000244140625,1350.7998046875,1489.7999267578125,3.467378756401879,NEUTRAL,ACTIVE,2026-06-08
2026-06-08,2026-06-12,REDINGTON.NS,NR7_CONTRACTION,234.57000732421875,231.72999572753906,240.25003051757812,277.3500061035156,1.210730915293135,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,TRITURBINE.NS,NR7_CONTRACTION,668.0,661.25,681.5,898.3999633789062,1.0104790419161676,STRONG,ACTIVE,2026-06-08
2026-06-08,2026-06-12,WOCKPHARMA.NS,NR7_CONTRACTION,1928.699951171875,1856.0,2074.099853515625,2846.0,3.7693759015082997,NEUTRAL,ACTIVE,2026-06-08
