Week_Start,Week_End,Ticker,Setup,Entry,StopLoss,Target1,Target2,Risk_Pct,Fund_Status,Status,Detected_Date
2026-03-02,2026-03-06,MCX.NS,VCP_COMPRESSION,2450.0,2377.5,2595.0,2839.0,2.9591836734693877,STRONG,ACTIVE,2026-03-04
2026-03-02,2026-03-06,HINDCOPPER.NS,VCP_COMPRESSION,552.7999877929688,549.0,560.3999633789062,648.772306786663,0.6874073583358866,NEUTRAL,ACTIVE,2026-03-04
2026-03-02,2026-03-06,ASTERDM.NS,NR7_CONTRACTION,634.9000244140625,612.5999755859375,679.5001220703125,775.7000732421875,3.512371707451942,STRONG,ACTIVE,2026-03-04
2026-03-02,2026-03-06,DATAPATTNS.NS,NR7_CONTRACTION,3156.800048828125,3042.0,3386.400146484375,3992.800048828125,3.636595509770768,NEUTRAL,ACTIVE,2026-03-04
2026-03-02,2026-03-06,KSB.NS,44MA_SUPPORT_BUY,729.7999877929688,704.2999877929688,780.7999877929688,854.5,3.4941080332319623,NEUTRAL,ACTIVE,2026-03-04
2026-03-02,2026-03-06,SCHNEIDER.NS,NR7_CONTRACTION,833.0,832.0,835.0,1059.75,0.12004801920768307,NEUTRAL,ACTIVE,2026-03-04
2026-03-02,2026-03-06,TARIL.NS,NR7_CONTRACTION,294.0,290.1000061035156,301.79998779296875,380.04998779296875,1.3265285362191752,NEUTRAL,ACTIVE,2026-03-04
