Week_Start,Week_End,Ticker,Setup,Entry,StopLoss,Target1,Target2,Risk_Pct,Fund_Status,Status,Detected_Date
2026-05-11,2026-05-15,VBL.NS,HIGH_TIGHT_FLAG,497.1000061035156,495.1000061035156,501.1000061035156,595.6057645936228,0.4023335295601509,STRONG,ACTIVE,2026-05-12
2026-05-11,2026-05-15,ANGELONE.NS,VCP_COMPRESSION,304.8999938964844,303.25,308.1999816894531,353.7300109863281,0.5411590454293546,STRONG,ACTIVE,2026-05-12
2026-05-11,2026-05-15,ATGL.NS,VCP_COMPRESSION,604.5,603.2000122070312,607.0999755859375,716.3500366210938,0.21505174408085193,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,ENGINERSIN.NS,VCP_COMPRESSION,243.89999389648438,243.39999389648438,244.89999389648438,292.79998779296875,0.20500205515060782,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,IRCON.NS,VCP_COMPRESSION,148.02000427246094,147.50999450683594,149.04002380371094,173.8000030517578,0.3445546216079167,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,SUZLON.NS,VCP_COMPRESSION,52.869998931884766,52.650001525878906,53.309993743896484,64.20000076293945,0.41611010109777713,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,SIEMENS.NS,VCP_COMPRESSION,3582.800048828125,3552.89990234375,3642.600341796875,4147.199951171875,0.8345468928458579,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,JINDALSAW.NS,VCP_COMPRESSION,235.94000244140625,234.00999450683594,239.80001831054688,277.47999572753906,0.8180079319315994,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,RAILTEL.NS,VCP_COMPRESSION,326.6499938964844,325.20001220703125,329.5499572753906,380.5199890136719,0.4438946017285478,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,NTPCGREEN.NS,VCP_COMPRESSION,109.23999786376953,105.5999984741211,116.5199966430664,131.62999725341797,3.3321122856371614,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,J&KBANK.NS,VCP_COMPRESSION,132.83999633789062,129.60000610351562,139.31997680664062,153.5399932861328,2.4390171060632895,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,GMDCLTD.NS,NR7_CONTRACTION,671.2000122070312,654.5,704.6000366210938,823.1000366210938,2.4880828223048574,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,EXIDEIND.NS,NR7_CONTRACTION,349.1000061035156,340.25,366.8000183105469,403.95001220703125,2.535091936060124,STRONG,ACTIVE,2026-05-12
2026-05-11,2026-05-15,DEEPAKFERT.NS,NR7_CONTRACTION,1258.5,1235.0,1305.5,1532.9000244140625,1.8673023440603893,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,CHENNPETRO.NS,NR7_CONTRACTION,1033.0999755859375,1031.5999755859375,1036.0999755859375,1245.699951171875,0.14519407951290034,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,LLOYDSME.NS,NR7_CONTRACTION,1746.5,1702.699951171875,1834.10009765625,2089.5,2.5078756844045236,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,HEG.NS,44MA_SUPPORT_BUY,595.2999877929688,581.2999877929688,623.2999877929688,713.2999877929688,2.3517554656609314,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,GRSE.NS,NR7_CONTRACTION,2889.0,2865.60009765625,2935.7998046875,3673.0,0.8099654670733819,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,HSCL.NS,NR7_CONTRACTION,609.7999877929688,600.25,628.8999633789062,790.0,1.5660852712596374,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,MEESHO.NS,NR7_CONTRACTION,187.9499969482422,187.50999450683594,188.8300018310547,257.8999938964844,0.23410611787741514,NEUTRAL,ACTIVE,2026-05-12
2026-05-11,2026-05-15,ZEEL.NS,NR7_CONTRACTION,89.08000183105469,88.80000305175781,89.63999938964844,106.91999816894531,0.3143228261578942,STRONG,ACTIVE,2026-05-12
