Week_Start,Week_End,Ticker,Setup,Entry,StopLoss,Target1,Target2,Risk_Pct,Fund_Status,Status,Detected_Date
2026-09-07,2026-09-11,DEVYANI.NS,VCP_COMPRESSION,138.39999389648438,135.35000610351562,144.49996948242188,161.58999633789062,2.2037485025107544,STRONG,ACTIVE,2026-09-07
2026-09-07,2026-09-11,FINCABLES.NS,VCP_COMPRESSION,1223.4000244140625,1178.1108676604863,1313.978337921215,1542.4778999825307,3.7019090934927092,STRONG,ACTIVE,2026-09-07
2026-09-07,2026-09-11,MRPL.NS,VCP_COMPRESSION,173.82000732421875,169.47000122070312,182.52001953125,201.62001037597656,2.5025922910023537,NEUTRAL,ACTIVE,2026-09-07
2026-09-07,2026-09-11,CYIENT.NS,NR7_CONTRACTION,1080.5,1074.199951171875,1093.10009765625,1460.5,0.5830679156062007,STRONG,ACTIVE,2026-09-07
2026-09-07,2026-09-11,NETWEB.NS,NR7_CONTRACTION,5177.0,5064.0,5403.0,6237.0,2.1827313115704077,NEUTRAL,ACTIVE,2026-09-07
