Week_Start,Week_End,Ticker,Setup,Entry,StopLoss,Target1,Target2,Risk_Pct,Fund_Status,Status,Detected_Date
2026-06-15,2026-06-19,ADANIENSOL.NS,VCP_COMPRESSION,1482.9000244140625,1460.800048828125,1527.0999755859375,1798.4000244140625,1.490321344803393,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,JSWENERGY.NS,VCP_COMPRESSION,561.4500122070312,548.2999877929688,587.7500610351562,652.2930041741524,2.342154088192184,NEUTRAL,ACTIVE,2026-06-17
2026-06-15,2026-06-19,TRITURBINE.NS,VCP_COMPRESSION,661.1500244140625,637.6500244140625,708.1500244140625,889.9000244140625,3.554412634383041,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,TATACOMM.NS,VCP_COMPRESSION,1906.699951171875,1890.199951171875,1939.699951171875,2333.2999267578125,0.8653695087084338,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,CCL.NS,NR7_CONTRACTION,1112.9000244140625,1104.0999755859375,1130.5001220703125,1306.0999755859375,0.7907312997641627,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,ATHERENERG.NS,NR7_CONTRACTION,991.7999877929688,981.3499755859375,1012.7000122070312,1186.7000122070312,1.053641090507113,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,ATGL.NS,NR7_CONTRACTION,701.9500122070312,701.0999755859375,703.6500854492188,947.41429604987,0.12109646076094696,NEUTRAL,ACTIVE,2026-06-17
2026-06-15,2026-06-19,AFCONS.NS,44MA_SUPPORT_BUY,323.20001220703125,315.0,339.60003662109375,376.3999938964844,2.5371323939736095,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,HONASA.NS,NR7_CONTRACTION,400.45001220703125,398.20001220703125,404.95001220703125,485.95001220703125,0.5618678814864808,STRONG,ACTIVE,2026-06-17
2026-06-15,2026-06-19,MANKIND.NS,44MA_SUPPORT_BUY,2358.800048828125,2340.699951171875,2395.000244140625,2721.800048828125,0.7673434492780473,NEUTRAL,ACTIVE,2026-06-17
