Week_Start,Week_End,Ticker,Setup,Entry,StopLoss,Target1,Target2,Risk_Pct,Fund_Status,Status,Detected_Date
2026-04-06,2026-04-10,ACMESOLAR.NS,NR7_CONTRACTION,271.95001220703125,264.3999938964844,287.050048828125,341.760009765625,2.776252241827136,NEUTRAL,ACTIVE,2026-04-10
2026-04-06,2026-04-10,CHENNPETRO.NS,NR7_CONTRACTION,974.0999755859375,964.0,994.2999267578125,1206.631199876518,1.0368520520557651,NEUTRAL,ACTIVE,2026-04-10
2026-04-06,2026-04-10,DMART.NS,NR7_CONTRACTION,4397.0,4322.2998046875,4546.400390625,5329.60009765625,1.6988900457698433,NEUTRAL,ACTIVE,2026-04-10
2026-04-06,2026-04-10,GRAPHITE.NS,NR7_CONTRACTION,643.2000122070312,618.3499755859375,692.9000854492188,758.7000122070312,3.8635006451298226,NEUTRAL,ACTIVE,2026-04-10
2026-04-06,2026-04-10,HEG.NS,NR7_CONTRACTION,563.4500122070312,541.0499877929688,608.2500610351562,682.6500244140625,3.9755122777123924,NEUTRAL,ACTIVE,2026-04-10
2026-04-06,2026-04-10,NLCINDIA.NS,NR7_CONTRACTION,271.1499938964844,267.29998779296875,278.8500061035156,314.1999969482422,1.4198805790810465,NEUTRAL,ACTIVE,2026-04-10
2026-04-06,2026-04-10,NTPCGREEN.NS,NR7_CONTRACTION,97.0,95.80000305175781,99.39999389648438,116.5,1.237110255919781,NEUTRAL,ACTIVE,2026-04-10
