Date,Open,High,Low,Close,Volume,Ticker,ema_fast,ema_inst,avg_vol,prev_close,tr,atr_short,roi_10d,roi_20d,range_pct,rolling_std,bb_width,bbw_avg,daily_range,daily_atr_pct,move_60d,SETUP_TYPE,swing_low,impulse_height,projected_target,expected_move_pct,base_risk_pct,days_to_target,super_score
2024-06-12,3222.042179473788,3242.1244655667338,3205.157252862275,3216.197509765625,3022477.0,ADANIENT.NS,3187.6322560063886,3153.113548047778,4804822.75,3218.3955078125,36.96721270445869,199.13761492307464,-0.012197761929038764,0.059752083135571565,0.011486224304850837,157.61625815302347,0.1977847449071711,0.16946872321022613,36.96721270445869,6.19170975409363,31.75682264049356,NR7_CONTRACTION,3134.3701235190847,1009.0548237714584,4225.252333537083,31.374155993454256,2.5442276476516312,20,80
2024-06-14,3223.401998843125,3273.3772236313907,3219.5040289175013,3260.1337890625,4224855.0,ADANIENT.NS,3197.0592382788705,3160.8556197354956,5000007.0,3221.9423828125,53.87319471388946,190.6109668986965,-0.04347986165833928,0.07278134393910829,0.01672071946453072,146.43686166153347,0.18321444896387645,0.17439981054148912,53.87319471388946,5.846722227725185,31.75682264049356,HIGH_TIGHT_FLAG,3192.2187735768866,1009.0548237714584,4269.188612833958,30.95133172622425,2.0831971900497783,20,95
2024-06-18,3308.3598808576353,3343.3425382080936,3285.5711295511205,3307.410400390625,1755612.0,ADANIENT.NS,3207.0915356867545,3167.4198141144725,5046515.8,3260.1337890625,83.20874914559363,189.3858106818864,-0.09187467274641892,0.08163492937954597,0.01772056375440535,141.13997551485244,0.17603485768251295,0.17636969155418453,57.77140865697311,5.726105555558476,31.75682264049356,HIGH_TIGHT_FLAG,3192.2187735768866,1009.0548237714584,4316.465224162083,30.508908832489702,3.482834389107972,20,95
2025-03-27,2308.855294711456,2372.723531879383,2290.464510318148,2362.178955078125,1696042.0,ADANIENT.NS,2280.7185944258827,2291.7585652702496,1136096.6,2311.4541015625,82.25902156123493,60.252232161680595,0.0542198113002994,0.10963212177518944,0.03558756434126439,84.03286349254175,0.14737962622468126,0.12518949398400334,82.25902156123493,2.550705653868966,23.936069172663856,44MA_SUPPORT_BUY,2290.464510318148,368.2675393130919,2730.446494391217,15.590162570934949,3.035944614010216,20,80
2025-09-29,2543.699951171875,2555.0,2505.0,2509.5,1012402.0,ADANIENT.NS,2463.033152331335,2433.4783952172493,1691891.6,2543.699951171875,50.0,68.48570033482143,0.05290765411723308,0.09863411857291138,0.019656406400041463,129.4590927758006,0.2102433621784809,0.15209210298849415,50.0,2.7290575945336295,22.8777274847789,NR7_CONTRACTION,2505.0,447.0,2956.5,17.81231320980275,0.17931858936043038,20,80
2025-09-30,2522.0,2535.0,2490.60009765625,2505.89990234375,712592.0,ADANIENT.NS,2466.930129605191,2436.6971288787245,1703426.5,2509.5,44.39990234375,69.20713588169643,0.04438609833065765,0.10188196119364168,0.017692728568938037,125.3550803248332,0.2032567989185735,0.15456668266313628,44.39990234375,2.7617677712093567,22.8777274847789,NR7_CONTRACTION,2490.60009765625,447.0,2952.89990234375,17.83790324513458,0.6105513102574529,20,80
2025-10-06,2589.10009765625,2599.800048828125,2562.60009765625,2573.5,654955.0,ADANIENT.NS,2496.230363621481,2455.61449297773,1796764.25,2589.89990234375,37.199951171875,74.87140764508929,0.01961172741679884,0.1280354651353175,0.01436347062610822,114.55045093145087,0.18355749950138955,0.1578702003941343,37.199951171875,2.909322232177552,22.8777274847789,NR7_CONTRACTION,2472.10009765625,409.0,2982.5,15.892753060034973,3.9401555214202446,20,80
2024-04-03,1387.1209224478682,1389.2513963561678,1376.5677403590923,1384.4949951171875,2727582.0,ADANIPORTS.NS,1304.6024580941744,1284.7825648700955,3714651.6,1391.3819580078125,14.81421764872016,44.183828503804435,0.10311062333750942,0.056803481946176904,0.009115869243579936,51.38495355989906,0.15754976771993717,,12.683655997075448,3.1913317606514418,105.28448308747085,NR7_CONTRACTION,1300.1688307611341,234.69626144432596,1619.1912565615135,16.9517594698463,6.090752559846976,20,80
2024-06-12,1398.9127262037975,1401.5881262777941,1377.955022423133,1381.2745361328125,3258265.0,ADANIPORTS.NS,1366.0730149775336,1345.6474753568,9656357.3,1390.688232421875,23.633103854661158,89.88232716500161,-0.01138306408492007,0.04709851556952094,0.016993818818402062,62.83590223414938,0.18398987915058926,0.13109281898614908,23.633103854661158,6.507202211708567,30.953643385051173,NR7_CONTRACTION,1332.5715450215157,456.60987860681644,1837.884414739629,33.057141550237944,3.5259457723481766,20,80
2024-06-13,1390.8369525144044,1398.1696880399163,1375.4284222209853,1391.67919921875,2839159.0,ADANIPORTS.NS,1368.4009547999353,1347.7107652399031,9688826.85,1381.2745361328125,22.74126581893097,87.06178314770521,0.015142770084592305,0.04978145045736149,0.016463972384954145,61.686488304062614,0.1803169987208358,0.13177528775051567,22.74126581893097,6.255880176737517,27.61440380044488,NR7_CONTRACTION,1342.7283791304474,456.60987860681644,1848.2890778255664,32.80999521032897,3.5173925223415186,20,80
2025-04-24,1232.0060474366173,1241.9576310184964,1225.6370096483563,1230.413818359375,2133285.0,ADANIPORTS.NS,1188.3564189476263,1166.0595376250956,2411606.75,1233.1007080078125,16.32062137014009,43.99665579209875,0.11322193401347458,0.04004034876338536,0.013235432648893335,41.086312982762884,0.13829626306608492,0.12135927607991652,16.32062137014009,3.575760864809173,19.59546264167014,NR7_CONTRACTION,1203.544511614774,239.83314737196633,1470.2469657313413,19.492071999951865,2.183761783529742,20,80
